title,ingredients,directions,n_ings,NER,structured_ingredients,structured_directions,total_time_minutes,cooking_temp_f,tier
Caribbean Sunshine Salad ,"[""2 Mangos"", ""2 Avocado"", ""6oz Hearts of palm"", ""1/2 red onion"", ""juice of 1/2 lime"", ""juice of 1/2 orange"", ""1 Tbl. shredded Basil"", ""1/2 Tbl. shredded Mint"", ""1/4 cup Extra Virgin Olive Oil"", ""Salt and Pepper""]","[""Cut Avocado, hearts of palm and mangos into bite size chuncks. Thinly slice red onions into half moons. Toss with remaining ingredients."", """", ""Serve in lettuce cups.""]",9,"[""Avocado"", ""Hearts of palm"", ""red onion"", ""lime"", ""orange"", ""Tbl"", ""Tbl"", ""Olive Oil"", ""Salt""]","[{""original"": ""2 mangos"", ""amount"": 2.0, ""raw_amount"": ""2"", ""unit"": null, ""ingredient"": ""mangos""}, {""original"": ""2 avocado"", ""amount"": 2.0, ""raw_amount"": ""2"", ""unit"": null, ""ingredient"": ""avocado""}, {""original"": ""6oz hearts of palm"", ""amount"": 6.0, ""raw_amount"": ""6"", ""unit"": null, ""ingredient"": ""hearts of palm""}, {""original"": ""1/2 red onion"", ""amount"": 0.5, ""raw_amount"": ""1/2"", ""unit"": null, ""ingredient"": ""red onion""}, {""original"": ""juice of 1/2 lime"", ""amount"": null, ""raw_amount"": null, ""unit"": null, ""ingredient"": ""juice of 1/2 lime""}, {""original"": ""juice of 1/2 orange"", ""amount"": null, ""raw_amount"": null, ""unit"": null, ""ingredient"": ""juice of 1/2 orange""}, {""original"": ""1 tbl. shredded basil"", ""amount"": 1.0, ""raw_amount"": ""1"", ""unit"": null, ""ingredient"": ""tbl. shredded basil""}, {""original"": ""1/2 tbl. shredded mint"", ""amount"": 0.5, ""raw_amount"": ""1/2"", ""unit"": null, ""ingredient"": ""tbl. shredded mint""}, {""original"": ""1/4 cup extra virgin olive oil"", ""amount"": 0.25, ""raw_amount"": ""1/4"", ""unit"": null, ""ingredient"": ""extra virgin olive oil""}, {""original"": ""salt and pepper"", ""amount"": null, ""raw_amount"": null, ""unit"": null, ""ingredient"": ""salt and pepper""}]","[{""original"": ""cut avocado, hearts of palm and mangos into bite size chuncks. thinly slice red onions into half moons. toss with remaining ingredients."", ""time_minutes"": null, ""temperature_f"": null, ""step_text"": ""cut avocado, hearts of palm and mangos into bite size chuncks. thinly slice red onions into half moons. toss with remaining ingredients.""}, {""original"": """", ""time_minutes"": null, ""temperature_f"": null, ""step_text"": """"}, {""original"": ""serve in lettuce cups."", ""time_minutes"": null, ""temperature_f"": null, ""step_text"": ""serve in lettuce cups.""}]",,,1
Country Fried Chicken,"[""1 fryer, cut up"", ""oil"", ""flour"", ""water"", ""salt and pepper""]","[""Fry chicken, then make gravy."", ""Put in crock-pot on high for 6 hours."", ""Serve over rice.""]",5,"[""fryer"", ""oil"", ""flour"", ""water"", ""salt""]","[{""original"": ""1 fryer, cut up"", ""amount"": 1.0, ""raw_amount"": ""1"", ""unit"": null, ""ingredient"": ""fryer, cut up""}, {""original"": ""oil"", ""amount"": null, ""raw_amount"": null, ""unit"": null, ""ingredient"": ""oil""}, {""original"": ""flour"", ""amount"": null, ""raw_amount"": null, ""unit"": null, ""ingredient"": ""flour""}, {""original"": ""water"", ""amount"": null, ""raw_amount"": null, ""unit"": null, ""ingredient"": ""water""}, {""original"": ""salt and pepper"", ""amount"": null, ""raw_amount"": null, ""unit"": null, ""ingredient"": ""salt and pepper""}]","[{""original"": ""fry chicken, then make gravy."", ""time_minutes"": null, ""temperature_f"": null, ""step_text"": ""fry chicken, then make gravy.""}, {""original"": ""put in crock-pot on high for 6 hours."", ""time_minutes"": 360.0, ""temperature_f"": null, ""step_text"": ""put in crock-pot on high for 6 hours.""}, {""original"": ""serve over rice."", ""time_minutes"": null, ""temperature_f"": null, ""step_text"": ""serve over rice.""}]",360.0,,1
Basmati And Black Rice Juk Recipe,"[""1/4 c. Thai black rice"", ""3 c. water"", ""4 x roasted garlic cloves - (to 6)"", ""1/3 c. basmati rice"", ""3 c. water"", ""1 tsp freshly-grated horseradish Salt to taste Freshly-grnd black pepper to taste""]","[""Place the Thai black rice and 3 c. of water in a medium saucepan and simmer over a medium-low heat, stirring constantly."", ""Simmer 2 hrs (stirring occasionally) or possibly till the rice has completely dissolved into the water."", ""You should have a liquid the consistency of creamy potato soup."", ""Add in 1/2 of the roasted garlic and simmer 5 min more."", ""Pass through a fine mesh strainer."", ""While the Thai black rice is cooking, place the basmati rice and 3 c. of water in a medium saucepot and repeat all the steps you followed to cook the black rice juk."", ""In addition to the garlic, add in the horseradish to the basmati juk before passing through mesh strainer."", ""The basmati juk should take 30 min less in total cooking time."", ""This recipe yields 6 c.."", ""Yield: 6 c.""]",6,"[""black rice"", ""water"", ""garlic"", ""basmati rice"", ""water"", ""Salt""]","[{""original"": ""1/4 c. thai black rice"", ""amount"": 0.25, ""raw_amount"": ""1/4"", ""unit"": null, ""ingredient"": ""c. thai black rice""}, {""original"": ""3 c. water"", ""amount"": 3.0, ""raw_amount"": ""3"", ""unit"": null, ""ingredient"": ""c. water""}, {""original"": ""4 x roasted garlic cloves - (to 6)"", ""amount"": 4.0, ""raw_amount"": ""4"", ""unit"": null, ""ingredient"": ""x roasted garlic cloves - (to 6)""}, {""original"": ""1/3 c. basmati rice"", ""amount"": 0.3333333333333333, ""raw_amount"": ""1/3"", ""unit"": null, ""ingredient"": ""c. basmati rice""}, {""original"": ""3 c. water"", ""amount"": 3.0, ""raw_amount"": ""3"", ""unit"": null, ""ingredient"": ""c. water""}, {""original"": ""1 tsp freshly-grated horseradish salt to taste freshly-grnd black pepper to taste"", ""amount"": 1.0, ""raw_amount"": ""1"", ""unit"": null, ""ingredient"": ""freshly-grated horseradish salt to taste freshly-grnd black pepper to taste""}]","[{""original"": ""place the thai black rice and 3 c. of water in a medium saucepan and simmer over a medium-low heat, stirring constantly."", ""time_minutes"": null, ""temperature_f"": null, ""step_text"": ""place the thai black rice and 3 c. of water in a medium saucepan and simmer over a medium-low heat, stirring constantly.""}, {""original"": ""simmer 2 hrs (stirring occasionally) or possibly till the rice has completely dissolved into the water."", ""time_minutes"": 2.0, ""temperature_f"": null, ""step_text"": ""simmer 2 hrs (stirring occasionally) or possibly till the rice has completely dissolved into the water.""}, {""original"": ""you should have a liquid the consistency of creamy potato soup."", ""time_minutes"": null, ""temperature_f"": null, ""step_text"": ""you should have a liquid the consistency of creamy potato soup.""}, {""original"": ""add in 1/2 of the roasted garlic and simmer 5 min more."", ""time_minutes"": 5.0, ""temperature_f"": null, ""step_text"": ""add in 1/2 of the roasted garlic and simmer 5 min more.""}, {""original"": ""pass through a fine mesh strainer."", ""time_minutes"": null, ""temperature_f"": null, ""step_text"": ""pass through a fine mesh strainer.""}, {""original"": ""while the thai black rice is cooking, place the basmati rice and 3 c. of water in a medium saucepot and repeat all the steps you followed to cook the black rice juk."", ""time_minutes"": null, ""temperature_f"": null, ""step_text"": ""while the thai black rice is cooking, place the basmati rice and 3 c. of water in a medium saucepot and repeat all the steps you followed to cook the black rice juk.""}, {""original"": ""in addition to the garlic, add in the horseradish to the basmati juk before passing through mesh strainer."", ""time_minutes"": null, ""temperature_f"": null, ""step_text"": ""in addition to the garlic, add in the horseradish to the basmati juk before passing through mesh strainer.""}, {""original"": ""the basmati juk should take 30 min less in total cooking time."", ""time_minutes"": 30.0, ""temperature_f"": null, ""step_text"": ""the basmati juk should take 30 min less in total cooking time.""}, {""original"": ""this recipe yields 6 c.."", ""time_minutes"": null, ""temperature_f"": null, ""step_text"": ""this recipe yields 6 c..""}, {""original"": ""yield: 6 c."", ""time_minutes"": null, ""temperature_f"": null, ""step_text"": ""yield: 6 c.""}]",37.0,,1
"Chickpea, Bulgur and Tomato Pilaf","[""1 cup uncooked bulgur or cracked wheat"", ""15-oz. can chickpeas, rinsed and drained"", ""1 cup diced plum tomatoes"", ""1 cup sliced scallions (white and light green parts)"", ""1/2 cup chopped flat-leaf parsley"", ""1/4 cup fresh lemon juice"", ""3 Tbs. extra-virgin olive oil"", ""1 1/2 tsp. grated lemon peel""]","[""In large bowl, combine bulgur and 1 cup boiling water."", ""Cover and let stand 30 minutes."", ""Fluff bulgur with fork."", ""Add 1/2 teaspoon salt and remaining ingredients; stir well."", ""Serve chilled or at room temperature.""]",6,"[""chickpeas"", ""tomatoes"", ""scallions"", ""flat-leaf"", ""lemon juice"", ""extra-virgin olive oil""]","[{""original"": ""1 cup uncooked bulgur or cracked wheat"", ""amount"": 1.0, ""raw_amount"": ""1"", ""unit"": null, ""ingredient"": ""uncooked bulgur or cracked wheat""}, {""original"": ""15-oz. can chickpeas, rinsed and drained"", ""amount"": 15.0, ""raw_amount"": ""15"", ""unit"": null, ""ingredient"": ""-oz. can chickpeas, rinsed and drained""}, {""original"": ""1 cup diced plum tomatoes"", ""amount"": 1.0, ""raw_amount"": ""1"", ""unit"": null, ""ingredient"": ""diced plum tomatoes""}, {""original"": ""1 cup sliced scallions (white and light green parts)"", ""amount"": 1.0, ""raw_amount"": ""1"", ""unit"": null, ""ingredient"": ""sliced scallions (white and light green parts)""}, {""original"": ""1/2 cup chopped flat-leaf parsley"", ""amount"": 0.5, ""raw_amount"": ""1/2"", ""unit"": null, ""ingredient"": ""chopped flat-leaf parsley""}, {""original"": ""1/4 cup fresh lemon juice"", ""amount"": 0.25, ""raw_amount"": ""1/4"", ""unit"": null, ""ingredient"": ""fresh lemon juice""}, {""original"": ""3 tbs. extra-virgin olive oil"", ""amount"": 3.0, ""raw_amount"": ""3"", ""unit"": null, ""ingredient"": ""tbs. extra-virgin olive oil""}, {""original"": ""1 1/2 tsp. grated lemon peel"", ""amount"": 1.5, ""raw_amount"": ""1 1/2"", ""unit"": ""g"", ""ingredient"": ""rated lemon peel""}]","[{""original"": ""in large bowl, combine bulgur and 1 cup boiling water."", ""time_minutes"": null, ""temperature_f"": null, ""step_text"": ""in large bowl, combine bulgur and 1 cup boiling water.""}, {""original"": ""cover and let stand 30 minutes."", ""time_minutes"": 30.0, ""temperature_f"": null, ""step_text"": ""cover and let stand 30 minutes.""}, {""original"": ""fluff bulgur with fork."", ""time_minutes"": null, ""temperature_f"": null, ""step_text"": ""fluff bulgur with fork.""}, {""original"": ""add 1/2 teaspoon salt and remaining ingredients; stir well."", ""time_minutes"": null, ""temperature_f"": null, ""step_text"": ""add 1/2 teaspoon salt and remaining ingredients; stir well.""}, {""original"": ""serve chilled or at room temperature."", ""time_minutes"": null, ""temperature_f"": null, ""step_text"": ""serve chilled or at room temperature.""}]",30.0,,1
YELLOW POTATO CURRY/SAMOOSA FILLING,"[""4 medium potatoes peeled and cut into small pieces."", ""1/2 cup chopped onion"", ""1/2 cup chopped coriander"", ""1 tsp turmeric powder"", ""1 tbsp oil"", ""1 tsp salt""]","[""Heat the oil on medium heat."", ""Add onions."", ""Fry for 2-3 minutes until the onions have softened."", ""Add turmeric powder."", ""Braise for 3 minutes on low heat."", ""Add the potatoes."", ""Mix."", ""Braise for 2 minutes."", ""Add one cup of water."", ""Add chopped coriander."", ""Add salt allow to cook for 10-15 minutes or until the potatoes are soft."", ""If not, add more water and allow more cooking time until the water evaporated leaving a dry consistency"", ""Yellow Potato Curry is best served warm with soft roti or rice."", ""Also, you can use it as a samoosa filling.""]",6,"[""potatoes"", ""onion"", ""coriander"", ""turmeric"", ""oil"", ""salt""]","[{""original"": ""4 medium potatoes peeled and cut into small pieces."", ""amount"": 4.0, ""raw_amount"": ""4"", ""unit"": null, ""ingredient"": ""medium potatoes peeled and cut into small pieces.""}, {""original"": ""1/2 cup chopped onion"", ""amount"": 0.5, ""raw_amount"": ""1/2"", ""unit"": null, ""ingredient"": ""chopped onion""}, {""original"": ""1/2 cup chopped coriander"", ""amount"": 0.5, ""raw_amount"": ""1/2"", ""unit"": null, ""ingredient"": ""chopped coriander""}, {""original"": ""1 tsp turmeric powder"", ""amount"": 1.0, ""raw_amount"": ""1"", ""unit"": null, ""ingredient"": ""turmeric powder""}, {""original"": ""1 tbsp oil"", ""amount"": 1.0, ""raw_amount"": ""1"", ""unit"": null, ""ingredient"": ""oil""}, {""original"": ""1 tsp salt"", ""amount"": 1.0, ""raw_amount"": ""1"", ""unit"": null, ""ingredient"": ""salt""}]","[{""original"": ""heat the oil on medium heat."", ""time_minutes"": null, ""temperature_f"": null, ""step_text"": ""heat the oil on medium heat.""}, {""original"": ""add onions."", ""time_minutes"": null, ""temperature_f"": null, ""step_text"": ""add onions.""}, {""original"": ""fry for 2-3 minutes until the onions have softened."", ""time_minutes"": 3.0, ""temperature_f"": null, ""step_text"": ""fry for 2-3 minutes until the onions have softened.""}, {""original"": ""add turmeric powder."", ""time_minutes"": null, ""temperature_f"": null, ""step_text"": ""add turmeric powder.""}, {""original"": ""braise for 3 minutes on low heat."", ""time_minutes"": 3.0, ""temperature_f"": null, ""step_text"": ""braise for 3 minutes on low heat.""}, {""original"": ""add the potatoes."", ""time_minutes"": null, ""temperature_f"": null, ""step_text"": ""add the potatoes.""}, {""original"": ""mix."", ""time_minutes"": null, ""temperature_f"": null, ""step_text"": ""mix.""}, {""original"": ""braise for 2 minutes."", ""time_minutes"": 2.0, ""temperature_f"": null, ""step_text"": ""braise for 2 minutes.""}, {""original"": ""add one cup of water."", ""time_minutes"": null, ""temperature_f"": null, ""step_text"": ""add one cup of water.""}, {""original"": ""add chopped coriander."", ""time_minutes"": null, ""temperature_f"": null, ""step_text"": ""add chopped coriander.""}, {""original"": ""add salt allow to cook for 10-15 minutes or until the potatoes are soft."", ""time_minutes"": 15.0, ""temperature_f"": null, ""step_text"": ""add salt allow to cook for 10-15 minutes or until the potatoes are soft.""}, {""original"": ""if not, add more water and allow more cooking time until the water evaporated leaving a dry consistency"", ""time_minutes"": null, ""temperature_f"": null, ""step_text"": ""if not, add more water and allow more cooking time until the water evaporated leaving a dry consistency""}, {""original"": ""yellow potato curry is best served warm with soft roti or rice."", ""time_minutes"": null, ""temperature_f"": null, ""step_text"": ""yellow potato curry is best served warm with soft roti or rice.""}, {""original"": ""also, you can use it as a samoosa filling."", ""time_minutes"": null, ""temperature_f"": null, ""step_text"": ""also, you can use it as a samoosa filling.""}]",23.0,,1
Rice Casserole(Great With Beef.)  ,"[""1 c. Uncle Ben's rice"", ""1 can beef consomme soup"", ""1 can French onion soup"", ""1/2 stick margarine""]","[""Melt margarine in casserole dish. Add both cans of soup."", ""Stir in rice. Bake 30 minutes at 325\u00b0.""]",4,"[""Uncle Ben's rice"", ""consomme soup"", ""onion soup"", ""margarine""]","[{""original"": ""1 c. uncle ben's rice"", ""amount"": 1.0, ""raw_amount"": ""1"", ""unit"": null, ""ingredient"": ""c. uncle ben's rice""}, {""original"": ""1 can beef consomme soup"", ""amount"": 1.0, ""raw_amount"": ""1"", ""unit"": null, ""ingredient"": ""beef consomme soup""}, {""original"": ""1 can french onion soup"", ""amount"": 1.0, ""raw_amount"": ""1"", ""unit"": null, ""ingredient"": ""french onion soup""}, {""original"": ""1/2 stick margarine"", ""amount"": 0.5, ""raw_amount"": ""1/2"", ""unit"": null, ""ingredient"": ""stick margarine""}]","[{""original"": ""melt margarine in casserole dish. add both cans of soup."", ""time_minutes"": null, ""temperature_f"": null, ""step_text"": ""melt margarine in casserole dish. add both cans of soup.""}, {""original"": ""stir in rice. bake 30 minutes at 325\u00b0."", ""time_minutes"": 30.0, ""temperature_f"": 325.0, ""step_text"": ""stir in rice. bake 30 minutes at 325\u00b0.""}]",30.0,325.0,1
Bring the Heat Chilled Summer Soup,"[""1 large zucchini, chopped"", ""2 celery ribs, 1/4 inch slices"", ""1 medium red onion, diced"", ""2 bell peppers, diced (I used a mix of green, red, yellow and orange( 1/2 each)"", ""2 -3 garlic cloves, minced"", ""29 ounces canned diced tomatoes"", ""1 tablespoon olive oil"", ""1 teaspoon mrs dash's extra spicy seasoning mix"", ""1 teaspoon mrs dash's italian medley seasoning"", ""12 teaspoon johnny's seasoning salt"", ""12-34 cup water""]","[""In stockpot at medium high heat, combine all vegetables and drizzle with oil."", ""As vegetables being to warm, sprinkle with seasonings and stir to combine."", ""Bring to simmer, adding as much water as seems appropriate to keep vegetables from sticking (mixture should NOT be soup-y)."", ""Let simmer for ~10 minutes."", ""Remove from heat and let mixture cool somewhat."", ""Process in small batches in food processor or blender to desired consistency-- I left mine a bit chunky since I liked seeing all the colors."", ""Let cool to room temperature to serve, or chill for 90+minutes."", ""Stir before serving."", ""Enjoy!"", ""Note: Cooking time includes the chilling time; actual cooking time is under 30 minutes.""]",10,"[""zucchini"", ""celery"", ""red onion"", ""bell peppers"", ""garlic"", ""tomatoes"", ""olive oil"", ""'s italian"", ""salt"", ""water""]","[{""original"": ""1 large zucchini, chopped"", ""amount"": 1.0, ""raw_amount"": ""1"", ""unit"": null, ""ingredient"": ""arge zucchini, chopped""}, {""original"": ""2 celery ribs, 1/4 inch slices"", ""amount"": 2.0, ""raw_amount"": ""2"", ""unit"": null, ""ingredient"": ""celery ribs, 1/4 inch slices""}, {""original"": ""1 medium red onion, diced"", ""amount"": 1.0, ""raw_amount"": ""1"", ""unit"": null, ""ingredient"": ""medium red onion, diced""}, {""original"": ""2 bell peppers, diced (i used a mix of green, red, yellow and orange( 1/2 each)"", ""amount"": 2.0, ""raw_amount"": ""2"", ""unit"": null, ""ingredient"": ""bell peppers, diced (i used a mix of green, red, yellow and orange( 1/2 each)""}, {""original"": ""2 -3 garlic cloves, minced"", ""amount"": 2.0, ""raw_amount"": ""2"", ""unit"": null, ""ingredient"": ""-3 garlic cloves, minced""}, {""original"": ""29 ounces canned diced tomatoes"", ""amount"": 29.0, ""raw_amount"": ""29"", ""unit"": ""can"", ""ingredient"": ""ned diced tomatoes""}, {""original"": ""1 tablespoon olive oil"", ""amount"": 1.0, ""raw_amount"": ""1"", ""unit"": null, ""ingredient"": ""olive oil""}, {""original"": ""1 teaspoon mrs dash's extra spicy seasoning mix"", ""amount"": 1.0, ""raw_amount"": ""1"", ""unit"": null, ""ingredient"": ""mrs dash's extra spicy seasoning mix""}, {""original"": ""1 teaspoon mrs dash's italian medley seasoning"", ""amount"": 1.0, ""raw_amount"": ""1"", ""unit"": null, ""ingredient"": ""mrs dash's italian medley seasoning""}, {""original"": ""12 teaspoon johnny's seasoning salt"", ""amount"": 12.0, ""raw_amount"": ""12"", ""unit"": null, ""ingredient"": ""johnny's seasoning salt""}, {""original"": ""12-34 cup water"", ""amount"": 12.0, ""raw_amount"": ""12"", ""unit"": null, ""ingredient"": ""-34 cup water""}]","[{""original"": ""in stockpot at medium high heat, combine all vegetables and drizzle with oil."", ""time_minutes"": null, ""temperature_f"": null, ""step_text"": ""in stockpot at medium high heat, combine all vegetables and drizzle with oil.""}, {""original"": ""as vegetables being to warm, sprinkle with seasonings and stir to combine."", ""time_minutes"": null, ""temperature_f"": null, ""step_text"": ""as vegetables being to warm, sprinkle with seasonings and stir to combine.""}, {""original"": ""bring to simmer, adding as much water as seems appropriate to keep vegetables from sticking (mixture should not be soup-y)."", ""time_minutes"": null, ""temperature_f"": null, ""step_text"": ""bring to simmer, adding as much water as seems appropriate to keep vegetables from sticking (mixture should not be soup-y).""}, {""original"": ""let simmer for ~10 minutes."", ""time_minutes"": 10.0, ""temperature_f"": null, ""step_text"": ""let simmer for ~10 minutes.""}, {""original"": ""remove from heat and let mixture cool somewhat."", ""time_minutes"": null, ""temperature_f"": null, ""step_text"": ""remove from heat and let mixture cool somewhat.""}, {""original"": ""process in small batches in food processor or blender to desired consistency-- i left mine a bit chunky since i liked seeing all the colors."", ""time_minutes"": null, ""temperature_f"": null, ""step_text"": ""process in small batches in food processor or blender to desired consistency-- i left mine a bit chunky since i liked seeing all the colors.""}, {""original"": ""let cool to room temperature to serve, or chill for 90+minutes."", ""time_minutes"": null, ""temperature_f"": null, ""step_text"": ""let cool to room temperature to serve, or chill for 90+minutes.""}, {""original"": ""stir before serving."", ""time_minutes"": null, ""temperature_f"": null, ""step_text"": ""stir before serving.""}, {""original"": ""enjoy!"", ""time_minutes"": null, ""temperature_f"": null, ""step_text"": ""enjoy!""}, {""original"": ""note: cooking time includes the chilling time; actual cooking time is under 30 minutes."", ""time_minutes"": 30.0, ""temperature_f"": null, ""step_text"": ""note: cooking time includes the chilling time; actual cooking time is under 30 minutes.""}]",40.0,,1
Great Green Beans,"[""3 (16 oz.) cans green beans"", ""2 (16 oz.) cans sliced potatoes"", ""1 small onion, chopped"", ""3 Tbsp. oil"", ""1 Tbsp. hickory liquid smoke"", ""salt and pepper to taste"", ""4 c. water""]","[""Take beans out of can and drain."", ""Then drain potatoes and mix both in pan."", ""Take onion and put in mixture; pour liquid ingredients in over beans; salt and pepper to taste."", ""Boil all of this for about 30 minutes.""]",7,"[""green beans"", ""potatoes"", ""onion"", ""oil"", ""hickory liquid smoke"", ""salt"", ""water""]","[{""original"": ""3 (16 oz.) cans green beans"", ""amount"": 3.0, ""raw_amount"": ""3"", ""unit"": null, ""ingredient"": ""(16 oz.) cans green beans""}, {""original"": ""2 (16 oz.) cans sliced potatoes"", ""amount"": 2.0, ""raw_amount"": ""2"", ""unit"": null, ""ingredient"": ""(16 oz.) cans sliced potatoes""}, {""original"": ""1 small onion, chopped"", ""amount"": 1.0, ""raw_amount"": ""1"", ""unit"": null, ""ingredient"": ""small onion, chopped""}, {""original"": ""3 tbsp. oil"", ""amount"": 3.0, ""raw_amount"": ""3"", ""unit"": null, ""ingredient"": ""oil""}, {""original"": ""1 tbsp. hickory liquid smoke"", ""amount"": 1.0, ""raw_amount"": ""1"", ""unit"": null, ""ingredient"": ""hickory liquid smoke""}, {""original"": ""salt and pepper to taste"", ""amount"": null, ""raw_amount"": null, ""unit"": null, ""ingredient"": ""salt and pepper to taste""}, {""original"": ""4 c. water"", ""amount"": 4.0, ""raw_amount"": ""4"", ""unit"": null, ""ingredient"": ""c. water""}]","[{""original"": ""take beans out of can and drain."", ""time_minutes"": null, ""temperature_f"": null, ""step_text"": ""take beans out of can and drain.""}, {""original"": ""then drain potatoes and mix both in pan."", ""time_minutes"": null, ""temperature_f"": null, ""step_text"": ""then drain potatoes and mix both in pan.""}, {""original"": ""take onion and put in mixture; pour liquid ingredients in over beans; salt and pepper to taste."", ""time_minutes"": null, ""temperature_f"": null, ""step_text"": ""take onion and put in mixture; pour liquid ingredients in over beans; salt and pepper to taste.""}, {""original"": ""boil all of this for about 30 minutes."", ""time_minutes"": 30.0, ""temperature_f"": null, ""step_text"": ""boil all of this for about 30 minutes.""}]",30.0,,1
Spoil-Resistant Hamburger Steak for Bento,"[""1 Hamburger steak"", ""1 Hamburger sauce"", ""1 Hot cooked white rice"", ""2 tsp Vinegar""]","[""When preparing the hamburger steak, add 2 teaspoons of vinegar per 300 grams of meat (2 hamburger steaks' worth)."", ""\""Youlinchi Chicken for Bento\""This also uses vinegar to prevent spoilage."", ""\""Beef-Wrapped Green Beans\""If you add vinegar at the end, this will also become spoil-resistant."", ""\""How to Prepare Rice for Bento\""""]",4,"[""steak"", ""Hamburger"", ""white rice"", ""Vinegar""]","[{""original"": ""1 hamburger steak"", ""amount"": 1.0, ""raw_amount"": ""1"", ""unit"": null, ""ingredient"": ""hamburger steak""}, {""original"": ""1 hamburger sauce"", ""amount"": 1.0, ""raw_amount"": ""1"", ""unit"": null, ""ingredient"": ""hamburger sauce""}, {""original"": ""1 hot cooked white rice"", ""amount"": 1.0, ""raw_amount"": ""1"", ""unit"": null, ""ingredient"": ""hot cooked white rice""}, {""original"": ""2 tsp vinegar"", ""amount"": 2.0, ""raw_amount"": ""2"", ""unit"": null, ""ingredient"": ""vinegar""}]","[{""original"": ""when preparing the hamburger steak, add 2 teaspoons of vinegar per 300 grams of meat (2 hamburger steaks' worth)."", ""time_minutes"": null, ""temperature_f"": null, ""step_text"": ""when preparing the hamburger steak, add 2 teaspoons of vinegar per 300 grams of meat (2 hamburger steaks' worth).""}, {""original"": ""\""youlinchi chicken for bento\""this also uses vinegar to prevent spoilage."", ""time_minutes"": null, ""temperature_f"": null, ""step_text"": ""\""youlinchi chicken for bento\""this also uses vinegar to prevent spoilage.""}, {""original"": ""\""beef-wrapped green beans\""if you add vinegar at the end, this will also become spoil-resistant."", ""time_minutes"": null, ""temperature_f"": null, ""step_text"": ""\""beef-wrapped green beans\""if you add vinegar at the end, this will also become spoil-resistant.""}, {""original"": ""\""how to prepare rice for bento\"""", ""time_minutes"": null, ""temperature_f"": null, ""step_text"": ""\""how to prepare rice for bento\""""}]",,,1
Mexi-Cali Penne,"[""8 ounces penne pasta"", ""16 ounces Mexican-style stewed tomatoes"", ""8 ounces canned whole kernel corn (drained)"", ""8 ounces canned black beans (drained and rinsed)"", ""3 tablespoons ground flax seeds""]","[""Boil pasta in salted water according to package direction."", ""While pasta boils, in a large bowl, dump in the tomatoes, cutting up any pieces that are larger then bite size."", ""Add corn, black beans, and flax and stir."", ""When pasta is done, drain, and immediately add to bowl with tomatoes, corn and beans."", ""Toss together."", ""Serve with sprinkle of cheese if desired.""]",5,"[""penne pasta"", ""tomatoes"", ""whole kernel corn"", ""black beans"", ""ground flax seeds""]","[{""original"": ""8 ounces penne pasta"", ""amount"": 8.0, ""raw_amount"": ""8"", ""unit"": null, ""ingredient"": ""penne pasta""}, {""original"": ""16 ounces mexican-style stewed tomatoes"", ""amount"": 16.0, ""raw_amount"": ""16"", ""unit"": null, ""ingredient"": ""mexican-style stewed tomatoes""}, {""original"": ""8 ounces canned whole kernel corn (drained)"", ""amount"": 8.0, ""raw_amount"": ""8"", ""unit"": ""can"", ""ingredient"": ""ned whole kernel corn (drained)""}, {""original"": ""8 ounces canned black beans (drained and rinsed)"", ""amount"": 8.0, ""raw_amount"": ""8"", ""unit"": ""can"", ""ingredient"": ""ned black beans (drained and rinsed)""}, {""original"": ""3 tablespoons ground flax seeds"", ""amount"": 3.0, ""raw_amount"": ""3"", ""unit"": ""g"", ""ingredient"": ""round flax seeds""}]","[{""original"": ""boil pasta in salted water according to package direction."", ""time_minutes"": null, ""temperature_f"": null, ""step_text"": ""boil pasta in salted water according to package direction.""}, {""original"": ""while pasta boils, in a large bowl, dump in the tomatoes, cutting up any pieces that are larger then bite size."", ""time_minutes"": null, ""temperature_f"": null, ""step_text"": ""while pasta boils, in a large bowl, dump in the tomatoes, cutting up any pieces that are larger then bite size.""}, {""original"": ""add corn, black beans, and flax and stir."", ""time_minutes"": null, ""temperature_f"": null, ""step_text"": ""add corn, black beans, and flax and stir.""}, {""original"": ""when pasta is done, drain, and immediately add to bowl with tomatoes, corn and beans."", ""time_minutes"": null, ""temperature_f"": null, ""step_text"": ""when pasta is done, drain, and immediately add to bowl with tomatoes, corn and beans.""}, {""original"": ""toss together."", ""time_minutes"": null, ""temperature_f"": null, ""step_text"": ""toss together.""}, {""original"": ""serve with sprinkle of cheese if desired."", ""time_minutes"": null, ""temperature_f"": null, ""step_text"": ""serve with sprinkle of cheese if desired.""}]",,,1
